load,slope_mA_per_V,intercept_mA,r_value,r_squared,p_value,slope_std_error,MAE_mA,RMSE_mA,max_abs_error_mA,samples
1k,-28.115260211938235,46.61281677980049,-0.999909252907146,0.999818514049327,0.0,0.021142216183247388,0.28782670052010806,0.35321392634374216,0.7410542960098283,323
2k,-27.629162670181234,45.574874044264234,-0.9998994284823314,0.9997988670792929,2.3916161148831663e-301,0.030788992372992874,0.1534897268309046,0.18552316068554964,0.42058041062975393,164
4k7,-26.205199700519724,42.99335716618324,-0.9998238656334711,0.9996477622902573,4.549156522616604e-126,0.05797164855526847,0.09177227946216394,0.10507111419893493,0.26112170336825713,74
