CH1 (DAC OUTPUT),,,,
Record Length,2500,,0,1.68
Sample Interval,0.004,,0.004,1.68
Trigger Point,0,,0.008,1.68
,,,0.012,1.68
,,,0.016,1.68
,,,0.02,1.64
Source,CH1,,0.024,1.68
Vertical Units,V,,0.028,1.64
Vertical Scale,1,,0.032,1.68
Vertical Offset,0.04,,0.036,1.68
Horizontal Units,s,,0.04,1.68
Horizontal Scale,1,,0.044,1.68
Pt Fmt,Y,,0.048,1.68
Yzero,0,,0.052,1.68
Probe Atten,10,,0.056,1.68
Model Number,TDS2014C,,0.06,1.68
Serial Number,C050909,,0.064,1.68
Firmware Version,FV:v24.26,,0.068,1.68
,,,0.072,1.64
,,,0.076,1.68
,,,0.08,1.68
,,,0.084,1.68
,,,0.088,1.68
,,,0.092,1.68
,,,0.096,1.68
,,,0.1,1.68
,,,0.104,1.68
,,,0.108,1.68
,,,0.112,1.68
,,,0.116,1.68
,,,0.12,1.68
,,,0.124,1.68
,,,0.128,1.68
,,,0.132,1.68
,,,0.136,1.68
,,,0.14,1.68
,,,0.144,1.68
,,,0.148,1.68
,,,0.152,1.64
,,,0.156,1.68
,,,0.16,1.68
,,,0.164,1.68
,,,0.168,1.68
,,,0.172,1.68
,,,0.176,1.68
,,,0.18,1.64
,,,0.184,1.68
,,,0.188,1.68
,,,0.192,1.68
,,,0.196,1.68
,,,0.2,1.68
,,,0.204,1.68
,,,0.208,1.68
,,,0.212,1.68
,,,0.216,1.64
,,,0.22,1.68
,,,0.224,1.68
,,,0.228,1.64
,,,0.232,1.68
,,,0.236,1.68
,,,0.24,1.68
,,,0.244,1.68
,,,0.248,1.68
,,,0.252,1.68
,,,0.256,1.68
,,,0.26,1.68
,,,0.264,1.68
,,,0.268,1.68
,,,0.272,1.68
,,,0.276,1.68
,,,0.28,1.68
,,,0.284,1.64
,,,0.288,1.68
,,,0.292,1.68
,,,0.296,1.68
,,,0.3,1.68
,,,0.304,1.68
,,,0.308,1.68
,,,0.312,1.64
