dac_bin,load,current_mA,shunt_volts,dac_volts,sample_index,load_resistance_ohm,load_voltage_V,samples_in_bin,previous_slope_mA_per_V,next_slope_mA_per_V,local_slope_mA_per_V,reference_slope_mA_per_V,slope_threshold_mA_per_V,inside_common_voltage_limit,inside_linear_slope_region,compliance_candidate,compliance_run_id,compliance_run_points,max_compliance_run_points,in_common_compliance_region,row_index,fitted_mA,residual_mA,studentized_residual,leverage,cook_distance,influential_by_cook,outlier_by_studentized_residual,flagged
0.24,1k,40.31016135620915,0.4031016135620915,0.23988868464052288,4025,1000,40.31016135620915,153,-14.416487211455147,-30.090271259212614,-22.25337923533388,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,22,39.62097882811738,0.6891825280917716,1.7791490156395182,0.00788439449106783,0.012529580184444429,TRUE,FALSE,TRUE
0.25,1k,40.009258643617024,0.40009258643617024,0.2501595744680851,4201,1000,40.009258643617024,188,-30.090271259212614,-26.92097168493459,-28.5056214720736,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,23,39.34064730434881,0.6686113392682076,1.7256824854553325,0.007797453215017147,0.011660677825366691,TRUE,FALSE,TRUE
0.26,1k,39.74004892676768,0.3974004892676768,0.26005208333333335,4391,1000,39.74004892676768,198,-26.92097168493459,-25.124242959253685,-26.02260732209414,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,24,39.06031578058026,0.6797331461874166,1.7544667468515467,0.007711134157339433,0.011916346880588333,TRUE,FALSE,TRUE
0.27,1k,39.48880649717514,0.3948880649717514,0.2699699858757062,4575,1000,39.48880649717514,177,-25.124242959253685,-40.30708512421267,-32.71566404173318,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,25,38.77998425681171,0.7088222403634348,1.8299068328542547,0.0076254373180346885,0.012811866302700906,TRUE,FALSE,TRUE
0.28,1k,39.08573564593301,0.3908573564593301,0.2802885765550239,4772,1000,39.08573564593301,209,-40.30708512421267,-20.850622520130553,-30.57885382217161,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,26,38.49965273304315,0.586082912889863,1.5115546058677252,0.0075403626971029146,0.008659820047743572,TRUE,FALSE,TRUE
0.29,1k,38.87722942073171,0.38877229420731707,0.2900847942073171,4955,1000,38.87722942073171,164,-20.850622520130553,-35.433204418849556,-28.141913469490056,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,27,38.2193212092746,0.6579082114571136,1.697621499700951,0.007455910294544113,0.010788371447787118,TRUE,FALSE,TRUE
0.3,1k,38.52289737654321,0.3852289737654321,0.2998215663580247,5120,1000,38.52289737654321,162,-35.433204418849556,-28.38915475276662,-31.911179585808085,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,28,37.93898968550604,0.583907691037173,1.5057937242928865,0.007372080110358278,0.00840097480715264,TRUE,FALSE,TRUE
0.31,1k,38.23900582901555,0.38239005829015543,0.3102517810880829,5304,1000,38.23900582901555,193,-28.38915475276662,-27.29860921734397,-27.843881985055294,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,29,37.658658161737485,0.5803476672780619,1.4965134516280634,0.007288872144545412,0.008203803629909205,TRUE,FALSE,TRUE
0.32,1k,37.96601973684211,0.37966019736842105,0.3203092105263158,5490,1000,37.96601973684211,190,-27.29860921734397,-20.490963509791964,-23.894786363567967,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,30,37.37832663796893,0.5876930988731771,1.5154682434474154,0.007206286397105517,0.008316084261697177,TRUE,FALSE,TRUE
0.33,1k,37.76111010174419,0.3776111010174419,0.32974654796511627,5665,1000,37.76111010174419,172,-20.490963509791964,-44.67003795219635,-32.58050073099416,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,31,37.09799511420037,0.6631149875438125,1.7108390663664885,0.007124322868038592,0.010465398148527911,TRUE,FALSE,TRUE
