fold,train_samples,test_samples,MAE_mA,RMSE_mA,max_abs_error_mA
1,452,114,1.0949511497704747,1.1498333909502263,1.6400758746574127
2,453,113,0.33621371897392094,0.39110596420641064,0.6047634173587992
3,453,113,0.6143230401554114,0.6726667549496579,1.2493323650891526
4,453,113,0.2870210882881853,0.3149890856803565,0.5757887161996754
5,453,113,0.469935582321017,0.525130276552181,0.978238645335388
