load,count,mean_mA,sd_mA,min_mA,q25_mA,median_mA,q75_mA,max_mA
1k,325,0.7887534854918598,26.41691422319926,-43.803125,-21.962662438118812,0.13105782085561496,23.519613693467335,46.33038429054054
2k,325,0.6496489677336328,19.118739096347486,-23.112369791666666,-21.51982060185185,0.34353813559322033,23.062447916666667,24.779905303030304
4k7,325,0.048039627536460336,9.214663414375245,-10.131788194444445,-10.027181739631336,0.1493363575268817,9.948595861486487,10.16510074013158
