compared_models,alpha,interpretation,model_index,Res.Df,RSS,Df,Sum of Sq,F,Pr(>F)
current_mA ~ dac_bin,0.05,NA,1,643,8999.699127147256,NA,NA,NA,NA
current_mA ~ dac_bin * load,0.05,O modelo com interacao melhora significativamente o ajuste em relacao ao modelo global.,2,639,3773.4351060183863,4,5226.26402112887,221.25613768837104,4.59579450621081e-119
