model,load,R2,adjusted_R2,sigma_mA,samples,MAE_mA,RMSE_mA,max_abs_error_mA
load_1k,1k,0.9998174035231249,0.999816838208955,0.357519329224091,325,0.2897155465524883,0.35641757212286607,0.9485999756689836
load_2k,2k,0.9349313785454186,0.9346624999443667,3.9266118353961006,244,3.303020639402908,3.910486051306658,9.706062152560698
load_4k7,4k7,0.9996303338075938,0.9996253383185072,0.11182398928238359,76,0.0959243290641552,0.11034281144448568,0.25204406727877604
