load,Vmin,Vmax,common_Vmin,common_Vmax,total_points,retained_points,removed_points,removed_percent
1k,-43.803125,46.33038429054054,-46.33038429054054,46.33038429054054,325,325,0,0
2k,-46.22473958333333,49.55981060606061,-46.33038429054054,46.33038429054054,325,244,81,24.923076923076923
4k7,-47.61940451388889,47.77597347861842,-46.33038429054054,46.33038429054054,325,76,249,76.61538461538461
