load,count,mean_mA,sd_mA,min_mA,q25_mA,median_mA,q75_mA,max_mA
1k,325,0.7887534854918598,26.41691422319926,-43.803125,-21.962662438118812,0.13105782085561496,23.519613693467335,46.33038429054054
2k,244,-7.249326853590995,15.361609274129414,-23.112369791666666,-22.92422532424632,-10.743657402575598,6.19772079930161,23.062447916666667
4k7,76,-0.1078023523492721,5.777172596551129,-9.731550854037268,-5.02190878076491,-0.2692779728608311,4.84907996506986,9.812039811643835
